t,grass_pop,prey_pop
0,20,100
1,20,100
2,20,100
3,20,100
4,20,100
5,20,100
6,19,100
7,18,100
8,18,100
9,19,100
10,20,100
11,21,100
12,29,100
13,29,100
14,29,100
15,29,100
16,29,100
17,29,100
18,29,100
19,31,100
20,31,100
21,34,100
22,35,100
23,38,100
24,39,100
25,41,100
26,41,100
27,42,100
28,41,100
29,41,100
30,41,100
31,43,100
32,44,100
33,44,100
34,45,100
35,45,100
36,47,100
37,49,100
38,50,100
39,48,100
40,49,100
41,51,100
42,51,100
43,52,100
44,54,100
45,55,100
46,56,100
47,55,100
48,55,100
49,57,100
50,57,100
51,59,100
52,58,100
53,57,100
54,57,100
55,58,100
56,60,100
57,61,100
58,62,100
59,64,100
60,64,100
61,65,100
62,66,100
63,68,100
64,70,100
65,70,100
66,72,100
67,73,100
68,76,100
69,76,100
70,76,100
71,79,100
72,81,100
73,80,100
74,80,100
75,81,100
76,82,100
77,85,100
78,84,100
79,89,100
80,89,100
81,89,100
82,90,100
83,93,100
84,91,100
85,93,100
86,93,100
87,95,100
88,96,100
89,97,100
90,98,100
91,100,100
92,102,100
93,105,100
94,110,100
95,112,100
96,113,100
97,114,100
98,114,100
99,117,100
100,119,100
101,121,100
102,123,100
103,125,100
104,126,100
105,129,100
106,130,100
107,130,100
108,130,100
109,133,100
110,136,100
111,140,100
112,142,100
113,142,100
114,143,100
115,144,100
116,146,100
117,148,100
118,149,100
119,150,100
120,152,100
121,153,100
122,154,100
123,157,100
124,158,100
125,158,100
126,160,100
127,160,100
128,161,100
129,162,100
130,164,100
131,167,100
132,167,100
133,168,100
134,169,100
135,171,100
136,172,100
137,173,100
138,173,100
139,174,100
140,176,100
141,177,100
142,178,100
143,183,100
144,188,100
145,190,100
146,189,100
147,189,100
148,190,100
149,191,100
150,193,100
151,194,100
152,195,100
153,197,100
154,200,100
155,200,100
156,200,100
157,202,100
158,200,100
159,201,100
160,203,100
161,206,100
162,206,101
163,208,101
164,207,101
165,209,101
166,212,101
167,212,101
168,209,101
169,210,101
170,211,101
171,215,101
172,217,102
173,218,102
174,220,102
175,220,102
176,223,102
177,223,102
178,226,102
179,228,102
180,227,103
181,230,103
182,233,103
183,234,103
184,236,103
185,238,103
186,237,103
187,237,104
188,238,104
189,238,104
190,237,104
191,237,104
192,238,104
193,238,104
194,239,104
195,240,104
196,244,104
197,246,104
198,249,104
199,251,104
200,254,104
201,255,104
202,256,104
203,257,104
204,257,104
205,257,105
206,256,106
207,255,106
208,257,106
209,261,106
210,261,106
211,261,106
212,260,106
213,263,106
214,266,106
215,267,107
216,269,107
217,269,107
218,270,107
219,272,107
220,271,107
221,274,107
222,273,107
223,274,107
224,277,107
225,276,107
226,276,107
227,277,107
228,276,107
229,276,107
230,277,107
231,279,107
232,279,107
233,279,107
234,280,107
235,280,107
236,280,107
237,283,107
238,285,107
239,288,107
240,289,107
241,291,107
242,293,107
243,295,107
244,297,107
245,298,107
246,298,107
247,299,107
248,301,107
249,302,107
250,304,107
251,307,107
252,306,107
253,310,107
254,310,107
255,310,107
256,311,107
257,314,107
258,315,107
259,316,107
260,316,107
261,319,107
262,320,107
263,319,107
264,319,107
265,320,107
266,322,107
267,323,107
268,324,108
269,327,108
270,330,108
271,331,108
272,332,108
273,333,108
274,334,108
275,334,108
276,336,108
277,337,108
278,337,108
279,339,108
280,340,108
281,343,108
282,345,108
283,345,108
284,347,108
285,348,108
286,349,108
287,352,108
288,353,108
289,355,108
290,356,108
291,357,108
292,360,108
293,361,108
294,361,108
295,361,108
296,361,108
297,363,108
298,363,108
299,364,108
300,366,108
301,369,108
302,370,108
303,373,108
304,374,109
305,376,109
306,377,109
307,379,109
308,380,109
309,381,109
310,381,109
311,382,109
312,382,109
313,384,109
314,387,109
315,390,109
316,393,109
317,395,109
318,396,109
319,397,109
320,398,109
321,398,109
322,399,109
323,401,109
324,401,109
325,404,109
326,407,109
327,409,109
328,409,109
329,413,109
330,417,109
331,419,109
332,419,109
333,420,109
334,421,109
335,421,109
336,423,109
337,423,109
338,422,109
339,423,109
340,423,109
341,424,109
342,424,109
343,424,109
344,425,109
345,428,109
346,432,109
347,435,110
348,435,110
349,436,110
350,435,110
351,434,110
352,435,110
353,436,110
354,440,110
355,440,110
356,438,110
357,440,110
358,444,111
359,443,111
360,447,111
361,448,111
362,448,111
363,451,111
364,452,111
365,451,111
366,452,111
367,454,111
368,454,111
369,457,111
370,459,111
371,461,111
372,461,111
373,462,111
374,465,111
375,467,111
376,471,111
377,472,111
378,472,111
379,474,111
380,474,111
381,475,111
382,476,111
383,476,111
384,477,111
385,476,111
386,478,111
387,480,111
388,482,112
389,485,112
390,485,112
391,490,113
392,489,113
393,489,113
394,490,113
395,493,113
396,495,113
397,497,113
398,498,114
399,497,113
400,497,113
401,497,113
402,498,113
403,498,114
404,497,114
405,499,114
406,498,113
407,500,111
408,502,112
409,503,112
410,503,112
411,504,112
412,503,111
413,505,111
414,509,111
415,510,112
416,510,112
417,514,111
418,513,111
419,515,110
420,514,111
421,519,110
422,515,110
423,516,110
424,513,110
425,515,110
426,515,111
427,513,111
428,515,111
429,515,112
430,517,112
431,519,112
432,520,112
433,523,112
434,521,112
435,521,112
436,522,112
437,521,111
438,523,111
439,523,110
440,523,110
441,523,111
442,523,111
443,523,111
444,522,111
445,522,111
446,521,111
447,524,110
448,525,110
449,527,110
450,528,110
451,528,109
452,530,109
453,530,109
454,531,109
455,531,109
456,531,109
457,533,109
458,533,109
459,534,109
460,536,109
461,539,109
462,539,109
463,540,109
464,540,109
465,540,108
466,541,107
467,542,107
468,543,107
469,544,104
470,544,103
471,544,103
472,544,101
473,544,98
474,544,98
475,543,98
476,544,98
477,545,97
478,546,97
479,550,97
480,551,97
481,552,97
482,551,98
483,552,98
484,553,98
485,553,98
486,552,98
487,552,98
488,552,98
489,552,98
490,551,97
491,552,97
492,552,96
493,552,96
494,552,97
495,551,97
496,553,97
497,554,96
498,559,96
499,561,96
500,564,96
501,564,96
502,565,96
503,566,96
504,564,96
505,563,96
506,563,96
507,562,96
508,560,96
509,557,96
510,557,95
511,558,95
512,554,94
513,557,95
514,557,95
515,559,95
516,557,96
517,558,96
518,557,98
519,555,98
520,553,97
521,553,97
522,552,96
523,551,97
524,549,98
525,548,98
526,547,98
527,548,98
528,549,98
529,551,98
530,551,98
531,553,98
532,553,98
533,553,98
534,553,98
535,553,97
536,552,97
537,552,97
538,552,97
539,553,97
540,557,97
541,556,97
542,556,98
543,555,98
544,555,98
545,555,98
