t,total_mass,total_energy,total_conserved,live_cells
-1,4550.0,0.0,4550.0,4550
0,3615.0,935.0,4550.0,3615
1,3201.0,1348.9998779296875,4549.9998779296875,3201
2,2925.0,1625.0,4550.0,2925
3,2780.0,1770.0,4550.0,2780
4,2666.0,1884.0,4550.0,2666
5,2605.0,1944.9998779296875,4549.9998779296875,2605
6,2561.0,1988.999755859375,4549.999755859375,2561
7,2534.0,2015.9998779296875,4549.9998779296875,2534
8,2512.0,2037.999755859375,4549.999755859375,2512
9,2495.0,2055.0,4550.0,2495
10,2485.0,2064.999755859375,4549.999755859375,2485
11,2481.0,2068.999755859375,4549.999755859375,2481
12,2478.0,2071.999755859375,4549.999755859375,2478
13,2477.0,2072.999755859375,4549.999755859375,2477
14,2476.0,2073.999755859375,4549.999755859375,2476
15,2473.0,2076.99951171875,4549.99951171875,2473
16,2472.0,2077.99951171875,4549.99951171875,2472
17,2472.0,2077.99951171875,4549.99951171875,2472
18,2472.0,2077.99951171875,4549.99951171875,2472
19,2472.0,2077.99951171875,4549.99951171875,2472
20,2472.0,2077.99951171875,4549.99951171875,2472
21,2472.0,2077.99951171875,4549.99951171875,2472
22,2471.0,2078.99951171875,4549.99951171875,2471
23,2470.0,2079.99951171875,4549.99951171875,2470
24,2470.0,2079.99951171875,4549.99951171875,2470
25,2470.0,2079.99951171875,4549.99951171875,2470
26,2470.0,2079.999267578125,4549.999267578125,2470
27,2470.0,2079.999267578125,4549.999267578125,2470
28,2470.0,2079.999267578125,4549.999267578125,2470
29,2470.0,2079.999267578125,4549.999267578125,2470
30,2470.0,2079.999267578125,4549.999267578125,2470
31,2470.0,2079.9990234375,4549.9990234375,2470
32,2470.0,2079.9990234375,4549.9990234375,2470
33,2470.0,2079.9990234375,4549.9990234375,2470
34,2470.0,2079.9990234375,4549.9990234375,2470
35,2470.0,2079.9990234375,4549.9990234375,2470
36,2470.0,2079.9990234375,4549.9990234375,2470
37,2470.0,2079.9990234375,4549.9990234375,2470
38,2470.0,2079.9990234375,4549.9990234375,2470
39,2470.0,2079.9990234375,4549.9990234375,2470
40,2470.0,2079.998779296875,4549.998779296875,2470
41,2470.0,2079.9990234375,4549.9990234375,2470
42,2470.0,2079.9990234375,4549.9990234375,2470
43,2469.0,2080.9990234375,4549.9990234375,2469
44,2468.0,2081.9990234375,4549.9990234375,2468
45,2468.0,2081.998779296875,4549.998779296875,2468
46,2468.0,2081.998779296875,4549.998779296875,2468
47,2468.0,2081.998779296875,4549.998779296875,2468
48,2468.0,2081.998779296875,4549.998779296875,2468
49,2468.0,2081.998779296875,4549.998779296875,2468
50,2467.0,2082.998779296875,4549.998779296875,2467
51,2466.0,2083.998779296875,4549.998779296875,2466
52,2466.0,2083.99853515625,4549.99853515625,2466
53,2466.0,2083.99853515625,4549.99853515625,2466
54,2466.0,2083.99853515625,4549.99853515625,2466
55,2466.0,2083.99853515625,4549.99853515625,2466
56,2466.0,2083.99853515625,4549.99853515625,2466
57,2466.0,2083.99853515625,4549.99853515625,2466
58,2466.0,2083.99853515625,4549.99853515625,2466
59,2466.0,2083.998291015625,4549.998291015625,2466
60,2466.0,2083.998291015625,4549.998291015625,2466
61,2466.0,2083.99853515625,4549.99853515625,2466
62,2466.0,2083.99853515625,4549.99853515625,2466
63,2466.0,2083.99853515625,4549.99853515625,2466
64,2466.0,2083.998291015625,4549.998291015625,2466
65,2466.0,2083.998291015625,4549.998291015625,2466
66,2466.0,2083.998046875,4549.998046875,2466
67,2466.0,2083.998291015625,4549.998291015625,2466
68,2466.0,2083.998291015625,4549.998291015625,2466
69,2466.0,2083.998291015625,4549.998291015625,2466
70,2466.0,2083.998046875,4549.998046875,2466
71,2466.0,2083.998046875,4549.998046875,2466
72,2466.0,2083.998046875,4549.998046875,2466
73,2466.0,2083.998046875,4549.998046875,2466
74,2466.0,2083.998046875,4549.998046875,2466
75,2466.0,2083.998046875,4549.998046875,2466
76,2466.0,2083.998046875,4549.998046875,2466
77,2466.0,2083.998046875,4549.998046875,2466
78,2466.0,2083.997802734375,4549.997802734375,2466
79,2466.0,2083.998046875,4549.998046875,2466
80,2466.0,2083.997802734375,4549.997802734375,2466
81,2466.0,2083.998046875,4549.998046875,2466
82,2466.0,2083.998046875,4549.998046875,2466
83,2466.0,2083.997802734375,4549.997802734375,2466
84,2466.0,2083.99755859375,4549.99755859375,2466
85,2466.0,2083.997802734375,4549.997802734375,2466
86,2466.0,2083.997802734375,4549.997802734375,2466
87,2466.0,2083.998046875,4549.998046875,2466
88,2466.0,2083.99755859375,4549.99755859375,2466
89,2466.0,2083.998046875,4549.998046875,2466
90,2466.0,2083.99755859375,4549.99755859375,2466
91,2466.0,2083.99755859375,4549.99755859375,2466
92,2466.0,2083.99755859375,4549.99755859375,2466
93,2466.0,2083.99755859375,4549.99755859375,2466
94,2466.0,2083.99755859375,4549.99755859375,2466
95,2466.0,2083.99755859375,4549.99755859375,2466
96,2466.0,2083.99755859375,4549.99755859375,2466
97,2466.0,2083.99755859375,4549.99755859375,2466
98,2466.0,2083.99755859375,4549.99755859375,2466
