step,cpu_ms
0,88.525
1,84.280
2,85.139
3,76.883
4,83.353
5,86.623
6,76.523
7,75.808
8,77.910
9,73.118
10,75.318
11,73.903
12,79.843
13,76.241
14,79.748
15,76.067
16,73.617
17,75.842
18,75.461
19,74.950
20,73.992
21,74.543
22,75.537
23,73.398
24,75.300
25,73.403
26,73.465
27,73.908
28,76.999
29,72.302
30,73.450
31,72.065
32,73.220
33,72.980
34,73.138
35,72.878
36,68.661
37,71.022
38,73.869
39,74.087
40,72.220
41,74.996
42,73.058
43,73.704
44,77.023
45,75.159
46,74.261
47,75.971
48,80.211
49,73.357
50,74.869
51,73.111
52,73.345
53,73.323
54,73.620
55,73.743
56,75.573
57,72.866
58,72.098
59,74.704
60,73.518
61,75.953
62,73.227
63,73.278
64,75.052
65,73.638
66,74.363
67,72.192
68,73.194
69,74.064
70,73.305
71,73.417
72,73.087
73,74.386
74,74.992
75,74.148
76,74.580
77,73.350
78,72.019
79,72.341
80,72.032
81,76.006
82,78.370
83,76.525
84,78.571
85,79.179
86,74.451
87,74.871
88,75.100
89,75.883
90,74.722
91,74.078
92,74.468
93,78.168
94,75.710
95,72.602
96,73.724
97,75.890
98,73.791
99,73.992
100,76.584
101,77.770
102,78.037
103,77.363
104,73.940
105,73.609
106,72.641
107,75.866
108,74.762
109,73.972
110,74.607
111,77.407
112,74.150
113,73.717
114,78.680
115,77.550
116,71.860
117,77.664
118,76.097
119,76.656
120,78.466
121,73.999
122,74.693
123,73.731
124,74.994
125,74.403
126,74.137
127,74.029
128,73.553
129,76.706
130,69.913
131,73.529
132,79.036
133,74.321
134,73.864
135,75.011
136,73.691
137,74.740
138,74.327
139,73.262
140,73.274
141,73.290
142,74.228
143,73.373
144,72.389
145,78.286
146,73.280
147,76.840
148,73.302
149,72.154
150,73.325
151,70.364
152,74.459
153,72.005
154,73.538
155,69.121
156,76.242
157,74.011
158,73.724
159,73.445
160,73.670
161,71.961
162,73.594
163,70.105
164,73.642
165,77.535
166,76.606
167,74.791
168,74.935
169,75.593
170,73.138
171,74.102
172,76.021
173,77.969
174,77.751
175,77.629
176,79.218
177,77.425
178,73.460
179,77.992
180,77.394
181,75.042
182,75.038
183,76.492
184,77.204
185,74.949
186,74.957
187,74.831
188,77.591
189,77.741
190,77.703
191,75.242
192,76.042
193,77.993
194,75.965
195,76.189
196,77.092
197,69.693
198,79.893
199,77.835
200,70.722
201,74.314
202,72.502
203,74.442
204,70.440
205,74.829
206,69.179
207,76.012
208,75.639
209,74.333
210,73.623
211,73.481
212,77.022
213,76.820
214,79.823
215,75.520
216,73.699
217,74.916
218,79.331
219,74.648
220,77.130
221,76.004
222,75.484
223,75.067
224,73.379
225,75.049
226,77.214
227,77.642
228,76.966
229,75.459
230,75.149
231,74.084
232,73.417
233,73.756
234,71.440
235,73.877
236,75.579
237,73.752
238,73.427
239,75.010
240,74.491
241,73.976
242,74.441
243,73.968
244,74.026
245,73.603
246,74.073
247,74.136
248,73.192
249,74.229
250,73.172
251,71.600
252,74.734
253,74.080
254,73.608
255,73.934
256,73.530
257,70.044
258,73.812
259,73.293
260,76.739
261,72.743
262,75.693
263,73.447
264,73.736
265,73.453
266,73.619
267,71.801
268,74.660
269,73.710
270,74.696
271,73.254
272,73.650
273,74.412
274,73.393
275,73.421
276,73.741
277,73.430
278,73.906
279,74.107
280,73.813
281,73.833
282,75.039
283,73.538
284,73.830
285,74.362
286,73.778
287,73.299
288,73.467
289,73.386
290,73.528
291,74.830
292,73.655
293,75.796
294,71.837
295,73.785
296,75.791
297,77.761
298,75.280
299,74.185
300,74.928
301,70.351
302,73.607
303,74.023
304,74.857
305,69.879
306,70.928
307,74.085
308,75.906
309,74.247
310,74.802
311,79.376
312,74.186
313,73.962
314,74.766
315,73.140
316,74.763
317,73.369
318,70.069
319,72.956
320,73.097
321,72.610
322,73.721
323,74.863
324,73.179
325,74.204
326,73.659
327,72.912
328,73.943
329,73.279
330,73.997
331,75.168
332,71.662
333,76.904
334,73.633
335,73.710
336,74.685
337,73.466
338,75.930
339,73.706
340,73.818
341,74.119
342,73.886
343,74.492
344,74.039
345,74.054
346,73.220
347,73.722
348,74.180
349,70.557
350,73.731
351,74.169
352,74.421
353,74.844
354,69.859
355,73.853
356,74.218
357,73.510
358,73.626
359,73.142
360,76.504
361,73.387
362,70.336
363,73.871
364,73.566
365,73.829
366,74.994
367,73.609
368,73.590
369,76.421
370,76.285
371,75.352
372,74.329
373,74.233
374,70.811
375,74.126
376,80.379
377,78.602
378,76.879
379,72.777
380,74.420
381,75.745
382,75.186
383,75.545
384,79.124
385,70.286
386,74.899
387,78.000
388,75.425
389,81.754
390,76.041
391,80.230
392,76.721
393,73.858
394,73.754
395,75.495
396,72.149
397,74.631
398,73.479
399,73.499
400,73.694
401,73.463
402,73.294
403,79.124
404,73.538
405,71.978
406,74.004
407,73.004
408,73.639
409,73.424
410,74.720
411,73.689
412,73.501
413,73.727
414,72.524
415,73.166
416,74.963
417,73.822
418,75.955
419,74.060
420,70.259
421,75.008
422,73.918
423,72.455
424,73.249
425,76.634
426,73.039
427,73.464
428,73.796
429,73.249
430,73.949
431,73.872
432,75.353
433,73.761
434,69.687
435,73.185
436,73.328
437,73.382
438,78.647
439,74.172
440,70.913
441,71.736
442,69.976
443,69.854
444,73.516
445,73.436
446,71.103
447,72.520
448,73.628
449,73.567
450,74.321
451,74.071
452,70.240
453,70.504
454,77.239
455,73.796
456,73.563
457,74.466
458,72.173
459,74.720
460,73.811
461,73.550
462,75.173
463,74.059
464,73.589
465,70.006
466,76.277
467,73.317
468,74.341
469,75.125
470,74.034
471,73.778
472,74.472
473,76.904
474,73.062
475,74.615
476,76.686
477,75.077
478,75.668
479,76.135
480,75.738
481,75.023
482,76.261
483,76.570
484,74.586
485,74.049
486,75.289
487,75.476
488,74.174
489,73.971
490,73.748
491,74.268
492,73.845
493,74.072
494,73.884
495,73.695
496,73.555
497,73.727
498,75.205
499,72.099
