step,gpu_ms
0,1.957
1,1.556
2,1.292
3,1.190
4,1.419
5,1.341
6,1.318
7,1.146
8,1.333
9,1.364
10,1.396
11,1.348
12,1.202
13,1.121
14,1.356
15,1.363
16,1.427
17,1.422
18,1.269
19,1.359
20,1.378
21,1.328
22,1.255
23,1.385
24,1.396
25,1.367
26,1.390
27,1.324
28,1.246
29,1.527
30,1.316
31,1.444
32,1.426
33,1.458
34,1.101
35,1.305
36,1.098
37,1.408
38,1.414
39,1.284
40,1.299
41,2.042
42,1.378
43,1.298
44,1.496
45,1.353
46,1.418
47,1.574
48,1.318
49,1.384
50,1.287
51,1.445
52,1.371
53,1.249
54,1.422
55,1.441
56,1.438
57,1.416
58,1.341
59,1.381
60,1.377
61,1.348
62,1.291
63,1.381
64,1.359
65,1.174
66,1.371
67,1.403
68,1.293
69,1.442
70,1.316
71,1.373
72,1.332
73,1.197
74,1.392
75,1.306
76,1.258
77,1.308
78,1.336
79,1.300
80,1.343
81,1.076
82,1.061
83,1.336
84,1.347
85,1.381
86,1.364
87,1.331
88,1.234
89,1.362
90,1.218
91,1.322
92,1.352
93,1.222
94,1.285
95,1.478
96,1.338
97,1.301
98,1.299
99,1.382
100,1.394
101,1.359
102,1.343
103,1.396
104,1.285
105,1.386
106,1.564
107,1.440
108,1.431
109,1.294
110,1.463
111,1.329
112,1.293
113,1.322
114,1.361
115,1.622
116,1.212
117,1.447
118,1.292
119,1.295
120,1.257
121,1.438
122,1.188
123,1.209
124,1.244
125,1.369
126,1.381
127,1.291
128,1.379
129,1.340
130,1.372
131,1.334
132,1.386
133,1.285
134,1.340
135,1.336
136,1.339
137,1.205
138,1.298
139,1.396
140,1.314
141,1.440
142,1.376
143,1.342
144,1.193
145,1.325
146,1.416
147,1.142
148,1.324
149,1.306
150,1.237
151,1.320
152,1.305
153,1.330
154,1.377
155,1.447
156,1.382
157,1.317
158,1.311
159,1.420
160,1.300
161,1.455
162,1.352
163,1.355
164,1.113
165,1.433
166,1.206
167,1.381
168,3.545
169,1.487
170,1.377
171,1.274
172,1.299
173,1.377
174,1.619
175,1.465
176,1.597
177,1.422
178,1.748
179,1.493
180,1.575
181,1.357
182,1.243
183,1.531
184,1.384
185,1.531
186,1.282
187,1.346
188,1.321
189,2.110
190,1.564
191,1.567
192,1.408
193,1.442
194,1.456
195,1.391
196,1.353
197,1.422
198,1.386
199,1.588
200,1.570
201,1.624
202,1.358
203,1.259
204,1.345
205,1.383
206,1.190
207,1.587
208,1.506
209,1.414
210,1.342
211,1.217
212,1.295
213,1.322
214,1.414
215,1.284
216,1.416
217,1.272
218,1.318
219,1.244
220,1.538
221,1.386
222,1.191
223,1.488
224,1.395
225,1.317
226,1.491
227,1.515
228,1.598
229,1.438
230,1.072
231,1.366
232,1.372
233,1.414
234,1.252
235,1.089
236,1.370
237,1.383
238,1.281
239,1.504
240,1.460
241,1.343
242,1.276
243,1.535
244,1.379
245,1.369
246,1.340
247,1.463
248,1.323
249,1.320
250,1.449
251,1.373
252,1.244
253,1.087
254,1.154
255,1.413
256,1.224
257,1.311
258,1.226
259,1.331
260,1.356
261,1.118
262,1.275
263,1.416
264,1.280
265,1.381
266,1.338
267,1.246
268,1.415
269,1.337
270,1.463
271,1.196
272,1.391
273,1.346
274,1.402
275,1.090
276,1.263
277,1.382
278,1.508
279,1.367
280,1.371
281,1.100
282,1.075
283,1.084
284,1.278
285,1.290
286,1.550
287,1.372
288,1.283
289,1.323
290,1.363
291,1.080
292,1.083
293,1.197
294,1.291
295,1.282
296,1.306
297,1.254
298,1.337
299,1.338
300,1.338
301,1.358
302,1.091
303,1.331
304,1.219
305,1.390
306,1.336
307,1.311
308,1.457
309,1.408
310,1.293
311,1.414
312,1.392
313,1.314
314,1.197
315,1.310
316,1.466
317,1.130
318,1.375
319,1.383
320,1.299
321,1.433
322,1.389
323,1.335
324,1.339
325,1.428
326,1.330
327,1.335
328,1.363
329,1.304
330,1.226
331,1.422
332,1.371
333,1.202
334,1.329
335,1.424
336,1.282
337,1.310
338,1.484
339,1.448
340,1.066
341,1.306
342,1.321
343,1.455
344,1.419
345,1.067
346,1.539
347,1.430
348,1.434
349,1.308
350,1.392
351,1.358
352,1.366
353,1.443
354,1.276
355,1.279
356,1.371
357,1.330
358,1.417
359,1.419
360,1.241
361,1.352
362,1.229
363,1.399
364,1.436
365,1.290
366,1.348
367,1.398
368,1.207
369,1.429
370,1.552
371,1.345
372,1.430
373,1.459
374,1.352
375,1.676
376,1.591
377,1.353
378,1.312
379,1.398
380,1.344
381,1.318
382,1.513
383,1.366
384,1.491
385,1.321
386,1.348
387,1.473
388,1.285
389,1.674
390,1.342
391,1.495
392,1.249
393,1.320
394,1.436
395,1.416
396,1.377
397,1.365
398,1.314
399,1.394
400,1.387
401,1.413
402,1.378
403,1.494
404,1.329
405,1.340
406,1.339
407,1.352
408,1.336
409,1.405
410,1.345
411,1.419
412,1.288
413,1.293
414,1.296
415,1.405
416,1.328
417,1.208
418,1.371
419,1.249
420,1.298
421,1.497
422,1.386
423,1.342
424,1.360
425,1.572
426,1.251
427,1.205
428,1.296
429,1.330
430,1.313
431,1.332
432,1.526
433,1.385
434,1.352
435,1.509
436,1.350
437,1.422
438,1.454
439,1.363
440,1.431
441,1.364
442,1.344
443,1.433
444,1.381
445,1.234
446,1.363
447,1.390
448,1.350
449,1.428
450,1.473
451,1.355
452,1.477
453,1.332
454,1.347
455,1.413
456,1.163
457,1.279
458,1.402
459,1.468
460,1.337
461,1.293
462,1.435
463,1.359
464,1.371
465,1.344
466,1.565
467,1.398
468,1.297
469,1.417
470,1.434
471,1.352
472,1.303
473,1.367
474,1.382
475,1.268
476,1.346
477,1.261
478,1.242
479,1.395
480,1.336
481,1.562
482,1.375
483,1.354
484,1.360
485,1.428
486,1.307
487,1.414
488,1.107
489,1.455
490,1.225
491,1.599
492,1.355
493,1.435
494,1.370
495,1.360
496,1.443
497,1.304
498,1.503
499,1.295
