t,mean_H2O,mean_CO2,mean_O2,mean_SUGAR,mean_ATP,mean_PROTEIN,mean_MITOGEN
0,1.0,1.0,1.0,1.000057,1.999977,1e-06,0.060942
1,0.9999,0.9999,0.9999,1.000011,1.99975,3e-06,0.060688
2,0.999647,0.999635,0.999635,0.99981,1.999217,6e-06,0.060333
3,0.999289,0.99925,0.999251,0.999503,1.998475,1.1e-05,0.059591
4,0.998779,0.998708,0.998708,0.99904,1.997424,1.7e-05,0.058551
5,0.997997,0.9979,0.997901,0.998292,1.995813,2.5e-05,0.056983
6,0.997468,0.997353,0.997355,0.997792,1.994684,3.4e-05,0.0559
7,0.996811,0.996673,0.996676,0.997156,1.993292,4.7e-05,0.054578
8,0.995956,0.995795,0.995799,0.996311,1.991497,6.3e-05,0.053047
9,0.994954,0.994778,0.994783,0.995301,1.98937,8.1e-05,0.051047
10,0.993857,0.993669,0.993675,0.994185,1.987047,9.9e-05,0.049215
11,0.992711,0.992463,0.992469,0.99303,1.984627,0.00012,0.04719
12,0.991668,0.991416,0.991422,0.99194,1.982341,0.000145,0.045112
13,0.990563,0.990273,0.99028,0.990788,1.979939,0.000176,0.043131
14,0.989165,0.988887,0.988893,0.989321,1.976916,0.000208,0.040788
15,0.988387,0.988107,0.988112,0.988484,1.97512,0.000241,0.039458
16,0.987386,0.987095,0.9871,0.987405,1.972869,0.000278,0.0377
17,0.986681,0.986365,0.98637,0.986618,1.971197,0.000316,0.036369
18,0.985873,0.985522,0.985524,0.985716,1.96932,0.000357,0.034998
19,0.98518,0.984792,0.984794,0.984927,1.96768,0.000402,0.03389
20,0.984338,0.983971,0.983971,0.983946,1.965684,0.000452,0.032476
21,0.983793,0.98343,0.983428,0.98326,1.964272,0.000505,0.031557
22,0.983182,0.982786,0.982781,0.982528,1.962747,0.00056,0.031126
23,0.982985,0.982595,0.982587,0.9822,1.962002,0.000617,0.031158
24,0.982986,0.982596,0.982586,0.98205,1.961664,0.000688,0.031236
25,0.982987,0.982597,0.982585,0.981897,1.961351,0.000759,0.031319
26,0.982988,0.982598,0.982584,0.98172,1.961034,0.000829,0.031425
27,0.982989,0.982599,0.982583,0.981535,1.960717,0.000909,0.03153
28,0.98299,0.9826,0.982582,0.981343,1.960397,0.00099,0.031641
29,0.98299,0.982601,0.982581,0.981153,1.960086,0.001066,0.031754
30,0.982991,0.982602,0.982581,0.980968,1.959785,0.001145,0.031861
31,0.982992,0.982603,0.98258,0.980783,1.959486,0.001222,0.031968
32,0.982993,0.982603,0.982579,0.9806,1.959186,0.001302,0.032072
33,0.982994,0.982604,0.982578,0.980425,1.958902,0.001378,0.032171
34,0.982995,0.982605,0.982577,0.980243,1.958618,0.001458,0.032272
35,0.982995,0.982606,0.982577,0.980063,1.958333,0.001539,0.032371
36,0.982996,0.982606,0.982576,0.979899,1.958053,0.001614,0.032459
37,0.982997,0.982607,0.982575,0.979738,1.957773,0.001694,0.032541
38,0.982997,0.982608,0.982575,0.979568,1.957488,0.001774,0.032631
39,0.982998,0.982608,0.982574,0.979419,1.957214,0.001842,0.032711
40,0.982998,0.982609,0.982574,0.979262,1.956936,0.001917,0.032793
41,0.982999,0.982609,0.982573,0.979099,1.956654,0.001996,0.032877
42,0.982999,0.98261,0.982573,0.978928,1.956369,0.002079,0.032965
43,0.983,0.98261,0.982572,0.978763,1.95608,0.002154,0.033055
44,0.983001,0.982611,0.982571,0.978583,1.955788,0.002233,0.033156
45,0.983002,0.982612,0.98257,0.978412,1.955497,0.00231,0.03325
46,0.983002,0.982613,0.982569,0.978238,1.955203,0.002388,0.033345
47,0.983004,0.982614,0.982568,0.97809,1.954921,0.002458,0.033423
48,0.983004,0.982615,0.982568,0.97794,1.954642,0.002529,0.033502
49,0.983005,0.982616,0.982567,0.9778,1.954359,0.002598,0.033574
50,0.983006,0.982617,0.982566,0.977655,1.954074,0.002673,0.033642
51,0.983007,0.982617,0.982565,0.977521,1.953797,0.002743,0.033706
52,0.983007,0.982617,0.982565,0.977382,1.953522,0.002818,0.033771
53,0.983008,0.982618,0.982564,0.977248,1.95325,0.002893,0.03383
54,0.983009,0.982619,0.982563,0.977115,1.952982,0.002965,0.03389
55,0.983009,0.98262,0.982563,0.976988,1.952711,0.003035,0.033948
56,0.98301,0.98262,0.982562,0.976859,1.952443,0.003112,0.034
57,0.98301,0.98262,0.982562,0.976729,1.952185,0.003183,0.034059
58,0.98301,0.98262,0.982562,0.976604,1.951924,0.003251,0.034116
59,0.98301,0.98262,0.982562,0.976484,1.951668,0.003313,0.034173
60,0.98301,0.982621,0.982562,0.97636,1.951409,0.003382,0.034228
61,0.983011,0.982621,0.982561,0.976235,1.951149,0.003452,0.034283
62,0.983011,0.982621,0.982561,0.976119,1.950887,0.003516,0.034335
63,0.983011,0.982621,0.982561,0.976006,1.950628,0.00358,0.034385
64,0.983011,0.982621,0.982561,0.975902,1.950368,0.00364,0.034428
65,0.983011,0.982621,0.982561,0.975798,1.950107,0.003701,0.034471
66,0.983011,0.982621,0.982561,0.975685,1.94985,0.003774,0.034511
67,0.98301,0.982621,0.982561,0.975575,1.949591,0.00385,0.034545
68,0.98301,0.982621,0.982562,0.975472,1.949331,0.003917,0.034582
69,0.98301,0.982621,0.982562,0.975356,1.949069,0.003991,0.034624
70,0.98301,0.982621,0.982562,0.975251,1.948806,0.004061,0.034658
71,0.983009,0.98262,0.982563,0.975152,1.948547,0.004129,0.034689
72,0.983009,0.982619,0.982563,0.975053,1.948287,0.0042,0.034717
73,0.983008,0.982619,0.982563,0.974968,1.948038,0.004265,0.034738
74,0.983008,0.982618,0.982564,0.974894,1.947794,0.004318,0.034759
75,0.983007,0.982618,0.982565,0.974819,1.947549,0.004375,0.034776
76,0.983007,0.982617,0.982565,0.974728,1.947303,0.004437,0.034806
77,0.983006,0.982617,0.982566,0.97464,1.947056,0.004499,0.034832
78,0.983006,0.982616,0.982566,0.974552,1.946807,0.004562,0.034858
79,0.983005,0.982615,0.982567,0.974466,1.946558,0.00462,0.034885
80,0.983004,0.982615,0.982567,0.974381,1.946307,0.004675,0.034915
81,0.983004,0.982614,0.982568,0.97431,1.946055,0.004726,0.034935
82,0.983003,0.982613,0.982569,0.974232,1.945809,0.004774,0.034966
83,0.983002,0.982612,0.98257,0.974156,1.945568,0.00483,0.034985
84,0.983001,0.982612,0.982571,0.974085,1.945327,0.004882,0.035005
85,0.983,0.982611,0.982571,0.974,1.945084,0.004938,0.035034
86,0.983,0.98261,0.982572,0.973916,1.944841,0.004999,0.035058
87,0.982999,0.982609,0.982573,0.973838,1.944596,0.005051,0.035082
88,0.982998,0.982608,0.982574,0.973765,1.944351,0.005108,0.035099
89,0.982997,0.982607,0.982575,0.973687,1.944105,0.005165,0.03512
90,0.982996,0.982606,0.982576,0.973609,1.943865,0.005219,0.035145
91,0.982995,0.982605,0.982577,0.973543,1.943624,0.005276,0.035154
92,0.982993,0.982604,0.982578,0.973463,1.943382,0.005338,0.035172
93,0.982992,0.982603,0.98258,0.973384,1.94314,0.0054,0.035189
94,0.982991,0.982601,0.982581,0.973308,1.942896,0.005463,0.035203
95,0.98299,0.9826,0.982582,0.973228,1.942652,0.005525,0.035221
96,0.982988,0.982599,0.982584,0.973147,1.942408,0.005588,0.035239
97,0.982987,0.982597,0.982585,0.973066,1.942162,0.005646,0.035261
